card_id,name_zhs,type,rarity,cost,family,image_path,version,prompt_version,status,reviewer,issues,integrated
SUI_YUE_YI_JI_CARD,碎月一击,Attack,Rare,0,B,,,,,未开始,,否
ZUI_HOU_YI_WU_CARD,最后一舞,Attack,Rare,0,E,,,,,未开始,,否
QIAN_YU_LIE_CARD,千羽裂,Attack,Rare,1,D,,,,,未开始,,否
XING_YUE_ZHONG_SHI_CARD,星月终式,Attack,Rare,2,B,,,,,未开始,,否
FENG_WA_JUE_ZHAN_CARD,凤瓦决战,Attack,Rare,2,F,,,,,未开始,,否
CHEN_TU_ZHI_ZHAN_CARD,尘土之战,Attack,Rare,2,F,art/cards/raw/card_chen_tu_zhi_zhan_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
MIE_SHI_CARD,灭世,Attack,Rare,3,A,,,,,未开始,,否
ZHE_GUAN_CARD,折冠,Skill,Rare,0,F,,,,,未开始,,否
BU_SI_FENG_QU_CARD,不死凤躯,Skill,Rare,1,E,,,,,未开始,,否
HUI_YAO_CARD,辉耀,Skill,Rare,1,B,,,,,未开始,,否
MAN_MU_XING_CHEN_CARD,满目星辰,Skill,Rare,2,B,,,,,未开始,,否
FENG_LIN_JIU_TIAN_CARD,凤临九天,Skill,Rare,2,A,,,,,未开始,,否
FU_BI_CARD,复辟,Skill,Rare,2,F,,,,,未开始,,否
NIE_PAN_CARD,涅槃,Skill,Rare,3,E,art/cards/raw/card_nie_pan_v02.png,v02,v02,重做通过（虚弱青鸾蜷缩）,Kimi,-,否（待Publish接入）
YAN_QING_BA_FANG_CARD,宴请八方,Skill,Rare,3,C,,,,,未开始,,否
DI_GUO_DA_JI_CARD,帝国大祭,Skill,Rare,X,E,,,,,未开始,,否
WANG_QUAN_CARD,王权,Skill,Rare,2,C,,,,,未开始,,否
CHENG_TIAN_SHOU_MING_CARD,承天受命,Skill,Rare,3,C,art/cards/raw/card_cheng_tian_shou_ming_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
TIAN_FENG_XING_TAI_CARD,天凤形态,Power,Rare,3,D,art/cards/raw/card_tian_feng_xing_tai_v01.png,v01,v01,二批通过（原生画风）,Kimi,-,否（待Publish接入）
XING_YUE_WANG_GUAN_CARD,星月王冠,Power,Rare,1,B,,,,,未开始,,否
ZHONG_ZHANG_CARD,终章,Power,Rare,1,F,,,,,未开始,,否
WA_MO_YUAN_ZHENG_CARD,远征,Power,Rare,1,D,,,,,未开始,,否
WANG_ZUO_GU_MING_CARD,王座孤明,Power,Rare,1,F,,,,,未开始,,否
BU_MIE_WANG_CHAO_CARD,不灭王朝,Power,Rare,1,D,,,,,未开始,,否
WAN_BANG_LAI_CHAO_CARD,万邦来朝,Power,Rare,2,D,,,,,未开始,,否
FEN_JUE_CARD,焚诀,Skill,Ancient,0,E,,,,,未开始,,否
GUI_YIN_YUN_SHAN_CARD,归隐陨山,Power,Ancient,2,F,,,,,未开始,,否
STAR_MOON_STRIKE,星月合击,Attack,Token,0,B,art/cards/raw/card_star_moon_strike_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
EDICT_CARD,诏令,Skill,Token,0,C,art/cards/raw/card_edict_v02.png,v02,v02,首轮通过（原生画风）,Kimi,-,否（待Publish接入）
HUO_REN_CARD,火刃,Attack,Token,1,A,,,,,未开始,,否
YUAN_JUN_STRIKE_CARD,打击（援军版）,Attack,Token,1,A,,,,,未开始,,否
GUAN_XING_OPTION_CARD,观星,Skill,Token,0,B,,,,,无需卡图,图鉴不显示的选项牌,否
WEN_YUE_OPTION_CARD,问月,Skill,Token,0,B,,,,,无需卡图,图鉴不显示的选项牌,否
CAN_AO_PROBE_CARD,残傲探针,Skill,Test,1,X,,,,,无需卡图,测试牌不入池,否
CAN_AO_PROBE_POWER_CARD,残傲探针能力,Skill,Test,1,X,,,,,无需卡图,测试牌不入池,否
GAIN_STAR_CARD,获得星,Skill,Test,0,X,,,,,无需卡图,测试牌不入池,否
GAIN_MOON_CARD,获得月,Skill,Test,0,X,,,,,无需卡图,测试牌不入池,否
GAIN_FENG_WEI_CARD,获得凤威,Skill,Test,0,X,,,,,无需卡图,测试牌不入池,否
